fir_number,district,police_station,crime_type,crime_category,severity,latitude,longitude,h3_r7,h3_r8,h3_r9,occurred_at,reported_at,hour,day_of_week,modus_operandi,description,status,victim_count,accused_count,property_value_inr,weapon_used,source
FIRNEW-2023-990000,Bengaluru City,Bengaluru Cantonment PS,Vehicle Theft,Property,3,13.000698,77.70045,8761892e0ffffff,8861892e63fffff,8961892e05bffff,2026-06-10T02:21:00,2026-06-10T04:52:00,2,2,"duplicate key used, vehicle parts stripped, outside shopping mall","On the date of incident, duplicate key used, vehicle parts stripped, outside shopping mall. Reported at Bengaluru Rural.",Open,4,1,156900.0,,demo-synthetic
FIRNEW-2024-990001,Ramanagara,Ramanagara South PS,Molestation,Crime Against Women,3,12.736674,77.349363,876014563ffffff,8860145639fffff,89601456397ffff,2026-06-04T18:51:00,2026-06-04T23:12:00,18,3,"accosted on road, blocked path, workplace incident","On the date of incident, accosted on road, blocked path, workplace incident. Reported at Ramanagara.",Open,1,1,,,demo-synthetic
FIRNEW-2025-990002,Hassan,Hassan Industrial Area PS,Phishing / OTP Fraud,Cybercrime,4,13.054224,76.137069,876010aa8ffffff,886010aa87fffff,896010aa863ffff,2026-06-05T19:44:00,2026-06-06T20:19:00,19,4,"fake lottery message, card not present transaction, social engineering used","Investigation reveals that fake lottery message, card not present transaction, social engineering used. Reported at Hassan.",Open,1,5,293500.0,,demo-synthetic
FIRNEW-2026-990003,Mysuru,Ballari Rural PS,Vehicle Theft,Property,3,12.307477,76.657099,876015d98ffffff,886015d989fffff,896015d9887ffff,2026-06-01T23:05:00,2026-06-02T11:53:00,23,0,"ignition hot-wired, vehicle parts stripped, outside shopping mall","Complainant reports that ignition hot-wired, vehicle parts stripped, outside shopping mall. Reported at Ballari.",Open,1,1,548900.0,,demo-synthetic
FIRNEW-2023-990004,Mandya,Mandya East PS,POCSO,Crime Against Children,5,12.56561,76.853861,8760143adffffff,8860143ad7fffff,8960143ad6bffff,2026-06-04T21:41:00,2026-06-05T22:12:00,21,3,"lured the minor, abuse reported by parents, neighbour accused","Investigation reveals that lured the minor, abuse reported by parents, neighbour accused. Reported at Mandya.",Open,1,1,,,demo-synthetic
FIRNEW-2024-990005,Bengaluru City,Bengaluru Town PS,Online Financial Fraud,Cybercrime,3,12.919366,77.579515,87618924affffff,88618924a5fffff,89618924a43ffff,2026-06-08T00:05:00,2026-06-09T00:19:00,0,0,"fake KYC update message, amount debited via UPI, money routed through mule accounts","Investigation reveals that fake KYC update message, amount debited via UPI, money routed through mule accounts. Reported at Bengaluru City.",Open,1,1,484600.0,,demo-synthetic
FIRNEW-2025-990006,Bengaluru City,Hubballi-Dharwad North PS,Domestic Violence,Crime Against Women,3,12.988631,77.694586,8761892e0ffffff,8861892e09fffff,8961892e08fffff,2026-06-07T13:19:00,2026-06-08T01:52:00,13,6,"frequent quarrels, physically assaulted, repeated incidents","As per the FIR, frequent quarrels, physically assaulted, repeated incidents. Reported at Hubballi-Dharwad.",Open,5,1,,,demo-synthetic
FIRNEW-2026-990007,Haveri,Haveri Lake PS,Vehicle Theft,Property,3,14.833741,75.429589,8760acac5ffffff,8860acac57fffff,8960acac563ffff,2026-06-06T01:22:00,2026-06-07T01:51:00,1,5,"duplicate key used, two-wheeler driven away, number plate swapped","Investigation reveals that duplicate key used, two-wheeler driven away, number plate swapped. Reported at Haveri.",Open,1,1,48200.0,,demo-synthetic
FIRNEW-2023-990008,Dakshina Kannada,Dakshina Market PS,Burglary,Property,2,12.928608,75.240553,876011054ffffff,8860110545fffff,89601105453ffff,2026-06-05T23:07:00,2026-06-06T23:19:00,23,4,"duplicate key used, cash and gold stolen, guard dog poisoned","On the date of incident, duplicate key used, cash and gold stolen, guard dog poisoned. Reported at Dakshina Kannada.",Open,1,4,84600.0,,demo-synthetic
FIRNEW-2024-990009,Mysuru,Bengaluru Market PS,Chain Snatching,Property,3,12.29894,76.650107,876015d9dffffff,886015d9d1fffff,896015d9d0bffff,2026-06-06T07:47:00,2026-06-06T09:59:00,7,5,"approached from behind, necklace grabbed, near market crowd","Complainant reports that approached from behind, necklace grabbed, near market crowd. Reported at Bengaluru Rural.",Open,1,4,161400.0,,demo-synthetic
FIRNEW-2025-990010,Udupi,Udupi Cantonment PS,Assault,Violent,3,13.325403,74.769557,87601e815ffffff,88601e815dfffff,89601e815c3ffff,2026-06-04T12:46:00,2026-06-05T01:34:00,12,3,"argument over money, victim beaten with sticks, group attack","Complainant reports that argument over money, victim beaten with sticks, group attack. Reported at Udupi.",Open,1,2,,Knife,demo-synthetic
