fir_number,district,police_station,crime_type,crime_category,severity,latitude,longitude,h3_r7,h3_r8,h3_r9,occurred_at,reported_at,hour,day_of_week,modus_operandi,description,status,victim_count,accused_count,property_value_inr,weapon_used,source
FIR-2023-000000,Mangaluru,Mangaluru Rural PS,Drug Possession (NDPS),Narcotics,3,12.96882,74.840484,8760112e5ffffff,8860112e51fffff,8960112e50fffff,2026-02-02T09:41:00,2026-02-03T10:38:00,9,0,"caught in raid, MDMA pills recovered, weighing scale recovered","As per the FIR, caught in raid, MDMA pills recovered, weighing scale recovered. Reported at Mangaluru.",Closed,1,5,,,demo-synthetic
FIR-2024-000001,Chitradurga,Chitradurga Lake PS,Phishing / OTP Fraud,Cybercrime,3,14.248856,76.405507,876012a93ffffff,886012a939fffff,896012a9383ffff,2023-11-15T16:12:00,2023-11-22T16:52:00,16,2,"fake lottery message, bank account drained, multiple small debits","Investigation reveals that fake lottery message, bank account drained, multiple small debits. Reported at Chitradurga.",UnderInvestigation,1,1,248400.0,,demo-synthetic
FIR-2025-000002,Bengaluru City,Bengaluru East PS,House Theft,Property,3,12.928789,77.578067,876189259ffffff,886189259bfffff,896189259abffff,2026-05-22T07:26:00,2026-05-22T16:24:00,7,4,"door latch lifted, mobile phones lifted, domestic help suspected","Investigation reveals that door latch lifted, mobile phones lifted, domestic help suspected. Reported at Bengaluru City.",Open,1,6,86000.0,,demo-synthetic
FIR-2026-000003,Bengaluru City,Bengaluru Nagar PS,Molestation,Crime Against Women,2,12.979091,77.589749,8760145b4ffffff,8860145b41fffff,8960145b403ffff,2025-02-17T06:48:00,2025-02-17T08:38:00,6,0,"outraged modesty, inappropriate touching, near bus stop","Investigation reveals that outraged modesty, inappropriate touching, near bus stop. Reported at Bengaluru City.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2023-000004,Shivamogga,Shivamogga South PS,Assault,Violent,2,13.947695,75.60931,87601310affffff,88601310a1fffff,89601310a1bffff,2024-01-16T01:24:00,2024-01-16T09:37:00,1,1,"old enmity, victim beaten with sticks, group attack","Complainant reports that old enmity, victim beaten with sticks, group attack. Reported at Shivamogga.",Closed,1,4,,,demo-synthetic
FIR-2024-000005,Bengaluru City,Bengaluru Nagar PS,Drug Possession (NDPS),Narcotics,2,12.994562,77.527447,876014586ffffff,886014580dfffff,896014580dbffff,2025-07-02T11:00:00,2025-07-03T11:31:00,11,2,"intercepted at checkpost, MDMA pills recovered, weighing scale recovered","Complainant reports that intercepted at checkpost, MDMA pills recovered, weighing scale recovered. Reported at Bengaluru City.",UnderInvestigation,1,1,,,demo-synthetic
FIR-2025-000006,Bagalkote,Bagalkote Town PS,Vehicle Theft,Property,2,16.171234,75.607636,8760ae231ffffff,8860ae2225fffff,8960ae23197ffff,2025-09-07T02:31:00,2025-09-07T14:48:00,2,6,"ignition hot-wired, two-wheeler driven away, near railway station","On the date of incident, ignition hot-wired, two-wheeler driven away, near railway station. Reported at Bagalkote.",Closed,1,1,378100.0,,demo-synthetic
FIR-2026-000007,Bengaluru City,Bengaluru Rural PS,Vehicle Theft,Property,4,13.033288,77.590996,8761892c9ffffff,8861892c99fffff,8961892c99bffff,2024-02-09T01:54:00,2024-02-09T10:22:00,1,4,"ignition hot-wired, two-wheeler driven away, near railway station","As per the FIR, ignition hot-wired, two-wheeler driven away, near railway station. Reported at Bengaluru City.",Closed,1,1,83300.0,,demo-synthetic
FIR-2023-000008,Bengaluru City,Bengaluru East PS,Online Financial Fraud,Cybercrime,2,12.968469,77.599702,87618925affffff,88618925a7fffff,89618925a67ffff,2025-04-08T01:29:00,2025-04-13T02:24:00,1,1,"fake KYC update message, OTP shared by victim, spoofed bank SMS","Complainant reports that fake KYC update message, OTP shared by victim, spoofed bank SMS. Reported at Bengaluru City.",UnderInvestigation,5,1,472500.0,,demo-synthetic
FIR-2024-000009,Hubballi-Dharwad,Hubballi-Dharwad South PS,Chain Snatching,Property,4,15.416744,75.15065,8760a882effffff,8860a882edfffff,8960a882ec7ffff,2024-08-22T17:16:00,2024-08-22T18:35:00,17,3,"pillion rider snatched, gold chain snatched, near market crowd","The victim states that pillion rider snatched, gold chain snatched, near market crowd. Reported at Hubballi-Dharwad.",Closed,1,1,,,demo-synthetic
FIR-2025-000010,Shivamogga,Shivamogga West PS,House Theft,Property,4,13.90018,75.520741,876013142ffffff,8860131425fffff,89601314247ffff,2026-01-23T02:59:00,2026-01-23T15:45:00,2,4,"false ceiling crawled, cash from drawer taken, domestic help suspected","On the date of incident, false ceiling crawled, cash from drawer taken, domestic help suspected. Reported at Shivamogga.",UnderInvestigation,1,1,92800.0,,demo-synthetic
FIR-2026-000011,Bengaluru Rural,Bengaluru Industrial Area PS,Dacoity,Property,5,13.195829,77.563211,876016951ffffff,886016951dfffff,896016951c3ffff,2023-08-25T00:08:00,2023-08-25T01:24:00,0,4,"house surrounded at night, valuables carried in bags, fled in waiting vehicle","As per the FIR, house surrounded at night, valuables carried in bags, fled in waiting vehicle. Reported at Bengaluru Rural.",Closed,1,7,433600.0,Knife,demo-synthetic
FIR-2023-000012,Hubballi-Dharwad,Hubballi-Dharwad City PS,Kidnapping,Violent,4,15.38547,75.114473,8760a882dffffff,8860a882d3fffff,8960a882d33ffff,2023-12-12T13:38:00,2023-12-12T15:27:00,13,1,"lured with false promise, phone switched off, minor victim","On the date of incident, lured with false promise, phone switched off, minor victim. Reported at Hubballi-Dharwad.",Closed,3,1,,Wooden stick,demo-synthetic
FIR-2024-000013,Bengaluru City,Bengaluru South PS,Online Financial Fraud,Cybercrime,3,12.959683,77.54021,8760145a2ffffff,8860145a23fffff,8960145a237ffff,2023-07-24T20:57:00,2023-07-27T20:59:00,20,0,"fake customer-care number, card details captured, victim contacted on WhatsApp","Investigation reveals that fake customer-care number, card details captured, victim contacted on WhatsApp. Reported at Bengaluru City.",ChargeSheeted,4,2,250900.0,,demo-synthetic
FIR-2025-000014,Shivamogga,Shivamogga Lake PS,Burglary,Property,3,13.917408,75.507996,87601315cffffff,88601315c5fffff,89601315c4bffff,2024-01-02T12:32:00,2024-01-02T13:54:00,12,1,"back door pried open, electronics removed, guard dog poisoned","Complainant reports that back door pried open, electronics removed, guard dog poisoned. Reported at Shivamogga.",Open,1,1,385900.0,,demo-synthetic
FIR-2026-000015,Shivamogga,Shivamogga Town PS,Vehicle Theft,Property,4,13.967865,75.573618,876013020ffffff,8860130209fffff,896013020bbffff,2024-09-21T18:12:00,2024-09-21T22:56:00,18,5,"ignition hot-wired, car taken from parking lot, number plate swapped","The victim states that ignition hot-wired, car taken from parking lot, number plate swapped. Reported at Shivamogga.",Closed,1,2,56200.0,,demo-synthetic
FIR-2023-000016,Bengaluru City,Bengaluru South PS,Chain Snatching,Property,4,12.960432,77.572334,8760145b5ffffff,8860145b59fffff,8960145b597ffff,2026-03-03T07:35:00,2026-03-03T08:38:00,7,1,"pillion rider snatched, gold chain snatched, morning walk hours","Investigation reveals that pillion rider snatched, gold chain snatched, morning walk hours. Reported at Bengaluru City.",UnderInvestigation,2,1,188800.0,,demo-synthetic
FIR-2024-000017,Bengaluru City,Bengaluru Nagar PS,Drug Possession (NDPS),Narcotics,4,12.890815,77.595001,87618924effffff,88618924e9fffff,89618924e8fffff,2025-01-06T17:59:00,2025-01-07T02:17:00,17,0,"intercepted at checkpost, contraband in vehicle, supplied near college","The victim states that intercepted at checkpost, contraband in vehicle, supplied near college. Reported at Bengaluru City.",UnderInvestigation,1,4,,,demo-synthetic
FIR-2025-000018,Dakshina Kannada,Dakshina City PS,Domestic Violence,Crime Against Women,3,12.878068,75.244077,876011070ffffff,886011070bfffff,896011070b3ffff,2025-06-10T21:29:00,2025-06-11T05:36:00,21,1,"dispute with in-laws, physically assaulted, repeated incidents","Complainant reports that dispute with in-laws, physically assaulted, repeated incidents. Reported at Dakshina Kannada.",Open,1,1,,,demo-synthetic
FIR-2026-000019,Bengaluru Rural,Bengaluru Nagar PS,House Theft,Property,3,13.19416,77.59973,876016954ffffff,8860169545fffff,89601695453ffff,2024-01-14T08:01:00,2024-01-14T09:30:00,8,6,"false ceiling crawled, mobile phones lifted, domestic help suspected","Investigation reveals that false ceiling crawled, mobile phones lifted, domestic help suspected. Reported at Bengaluru Rural.",Closed,5,1,6500.0,,demo-synthetic
FIR-2023-000020,Hassan,Hassan West PS,Cheating / Fraud,Economic,4,12.998577,76.087771,876010a19ffffff,886010a197fffff,896010a196bffff,2026-03-12T13:47:00,2026-03-19T14:45:00,13,3,"forged documents used, cheque dishonoured, promised high returns","Investigation reveals that forged documents used, cheque dishonoured, promised high returns. Reported at Hassan.",ChargeSheeted,1,1,4163600.0,,demo-synthetic
FIR-2024-000021,Bengaluru City,Bengaluru Rural PS,Online Financial Fraud,Cybercrime,2,13.004894,77.579103,8760145b2ffffff,8860145b05fffff,8960145b04bffff,2026-05-20T02:18:00,2026-05-22T02:45:00,2,2,"remote-access app installed, amount debited via UPI, victim contacted on WhatsApp","Investigation reveals that remote-access app installed, amount debited via UPI, victim contacted on WhatsApp. Reported at Bengaluru City.",Open,1,1,420900.0,,demo-synthetic
FIR-2025-000022,Bengaluru City,Bengaluru Rural PS,Missing Person,Missing,1,12.964198,77.672512,876189252ffffff,886189252dfffff,896189252cfffff,2024-06-28T12:11:00,2024-06-29T12:58:00,12,4,"last seen near bus stand, no contact since, possible elopement","On the date of incident, last seen near bus stand, no contact since, possible elopement. Reported at Bengaluru City.",ChargeSheeted,1,1,,,demo-synthetic
FIR-2026-000023,Bengaluru Rural,Bengaluru North PS,Assault,Violent,3,13.239475,77.583458,876016821ffffff,886016821bfffff,896016821a3ffff,2024-07-05T20:44:00,2024-07-05T23:38:00,20,4,"argument over money, victim beaten with sticks, alcohol involved","As per the FIR, argument over money, victim beaten with sticks, alcohol involved. Reported at Bengaluru Rural.",UnderInvestigation,1,1,,,demo-synthetic
FIR-2023-000024,Bengaluru City,Bengaluru Lake PS,Online Financial Fraud,Cybercrime,3,12.93709,77.597317,876189258ffffff,886189258bfffff,896189258abffff,2026-03-06T07:45:00,2026-03-06T14:18:00,7,4,"remote-access app installed, card details captured, money routed through mule accounts","Investigation reveals that remote-access app installed, card details captured, money routed through mule accounts. Reported at Bengaluru City.",ChargeSheeted,1,1,336600.0,,demo-synthetic
FIR-2024-000025,Ballari,Ballari City PS,Vehicle Theft,Property,4,15.17509,76.889199,8760a18e1ffffff,8860a18e1dfffff,8960a18e1cbffff,2025-08-18T15:50:00,2025-08-19T00:41:00,15,0,"steering lock broken, vehicle parts stripped, outside shopping mall","Investigation reveals that steering lock broken, vehicle parts stripped, outside shopping mall. Reported at Ballari.",UnderInvestigation,1,1,54500.0,,demo-synthetic
FIR-2025-000026,Dakshina Kannada,Dakshina City PS,Kidnapping,Violent,4,12.897017,75.285251,87601102bffffff,88601102bbfffff,89601102bbbffff,2026-05-01T09:45:00,2026-05-01T11:44:00,9,4,"lured with false promise, ransom demanded, known to family","The victim states that lured with false promise, ransom demanded, known to family. Reported at Dakshina Kannada.",ChargeSheeted,2,1,,Machete,demo-synthetic
FIR-2026-000027,Chikkaballapura,Chikkaballapura Market PS,POCSO,Crime Against Children,5,13.435916,77.728076,876016d6dffffff,886016d6d9fffff,896016d6d83ffff,2026-02-05T16:18:00,2026-02-06T04:28:00,16,3,"inappropriate behaviour, abuse reported by parents, neighbour accused","As per the FIR, inappropriate behaviour, abuse reported by parents, neighbour accused. Reported at Chikkaballapura.",UnderInvestigation,1,5,,,demo-synthetic
FIR-2023-000028,Shivamogga,Shivamogga Cantonment PS,Missing Person,Missing,3,13.913354,75.61468,87601310cffffff,88601310c7fffff,89601310c77ffff,2025-05-15T06:52:00,2025-05-17T07:49:00,6,3,"left home without informing, no contact since, depression suspected","On the date of incident, left home without informing, no contact since, depression suspected. Reported at Shivamogga.",Closed,1,6,,,demo-synthetic
FIR-2024-000029,Bengaluru City,Bengaluru Industrial Area PS,Vehicle Theft,Property,3,12.979709,77.601346,8760145b4ffffff,8860145b4dfffff,8960145b4dbffff,2025-07-13T01:07:00,2025-07-13T02:55:00,1,6,"ignition hot-wired, car taken from parking lot, near railway station","The victim states that ignition hot-wired, car taken from parking lot, near railway station. Reported at Bengaluru City.",UnderInvestigation,3,1,273500.0,,demo-synthetic
