vehicle_id,fir_number,reg_number,vehicle_type,make_color
V0000001,FIR-2026-000003,KA05WJ3841,Mini Truck,Silver TVS
V0000002,FIR-2025-000006,KA35KZ8856,Mini Truck,
V0000003,FIR-2026-000007,KA47FO2091,Car,Silver TVS
V0000004,FIR-2026-000007,KA06EE3788,SUV,Black Hero
V0000005,FIR-2024-000009,KA02UW8457,Tempo,
V0000006,FIR-2025-000014,KA50UB0508,Tempo,Red Bajaj
V0000007,FIR-2025-000014,KA15IN7956,Auto Rickshaw,Blue Bajaj
V0000008,FIR-2026-000015,KA24SV7506,Motorcycle,
V0000009,FIR-2026-000015,KA38AJ9433,Auto Rickshaw,Grey Maruti
V0000010,FIR-2024-000021,KA46JK9620,SUV,Grey Maruti
V0000011,FIR-2024-000025,KA47FO2091,Motorcycle,Black Hyundai
V0000012,FIR-2024-000025,KA25PA5763,Tempo,Black Hyundai
V0000013,FIR-2026-000027,KA10SB8516,Car,Grey Hero
V0000014,FIR-2023-000028,KA35SI3954,Tempo,Grey Maruti
V0000015,FIR-2024-000029,KA34YM4320,Mini Truck,Silver Maruti
V0000016,FIR-2025-000030,KA50UB0508,Auto Rickshaw,
V0000017,FIR-2026-000031,KA51YW5060,Mini Truck,Grey Hyundai
V0000018,FIR-2026-000031,KA35SY0866,Mini Truck,Maroon Maruti
V0000019,FIR-2023-000032,KA45AY9432,Scooter,
V0000020,FIR-2023-000032,KA45AY9432,Scooter,Red TVS
V0000021,FIR-2024-000033,KA11ZH8806,Auto Rickshaw,Blue Maruti
V0000022,FIR-2024-000033,KA40JU2742,Motorcycle,
V0000023,FIR-2023-000036,KA43XS9879,Mini Truck,
V0000024,FIR-2024-000037,KA02MK6624,Mini Truck,Black Maruti
V0000025,FIR-2025-000038,KA29YD7314,Mini Truck,
V0000026,FIR-2026-000039,KA41QI5822,Auto Rickshaw,Blue Maruti
V0000027,FIR-2023-000044,KA50LF9926,Motorcycle,Black TVS
V0000028,FIR-2025-000046,KA23RN6071,Motorcycle,White TVS
V0000029,FIR-2026-000047,KA18KH1419,Auto Rickshaw,Black Bajaj
V0000030,FIR-2024-000049,KA49YD6965,Auto Rickshaw,
V0000031,FIR-2024-000053,KA26HE0090,Scooter,Red TVS
V0000032,FIR-2024-000053,KA43HZ3644,Mini Truck,Blue TVS
V0000033,FIR-2025-000054,KA31AY6249,Auto Rickshaw,Maroon TVS
V0000034,FIR-2023-000056,KA38JX6743,Tempo,Grey Honda
V0000035,FIR-2023-000056,KA52LE4407,SUV,Grey Maruti
V0000036,FIR-2026-000059,KA53KA5901,Tempo,
V0000037,FIR-2024-000065,KA30FB4262,SUV,Blue Bajaj
V0000038,FIR-2024-000065,KA37PI1549,Tempo,Silver Maruti
V0000039,FIR-2025-000066,KA28VA4068,Car,
V0000040,FIR-2023-000068,KA18AD6179,Scooter,Black Honda
V0000041,FIR-2023-000068,KA20SZ8021,Motorcycle,Grey Hyundai
V0000042,FIR-2024-000069,KA47FO2091,Mini Truck,Maroon Bajaj
V0000043,FIR-2024-000069,KA20NY5123,Tempo,
V0000044,FIR-2024-000073,KA21YO8270,Motorcycle,White Bajaj
V0000045,FIR-2023-000076,KA40KJ7769,Tempo,Grey Bajaj
V0000046,FIR-2023-000076,KA06PA8837,SUV,Maroon Hyundai
V0000047,FIR-2024-000077,KA20HJ4399,Mini Truck,
V0000048,FIR-2024-000077,KA19BU2427,Car,Red Honda
V0000049,FIR-2025-000078,KA05NN5421,Scooter,Maroon Maruti
V0000050,FIR-2025-000078,KA05SW3978,Auto Rickshaw,Silver Honda
V0000051,FIR-2026-000079,KA23RN6071,Motorcycle,Maroon TVS
